SceneObstaclesFile data/scene12/Scene12_Dims15_0Obstacles.txt
SnakeStartX 24.444722
SnakeStartY -34.745511
SnakeStartTrailer0Theta -0.444023
SnakeStartTrailer1Theta -0.265231
SnakeStartTrailer2Theta -0.070990
SnakeStartTrailer3Theta 0.118686
SnakeStartTrailer4Theta 0.281328
SnakeStartTrailer5Theta 0.394028
SnakeStartTrailer6Theta 0.447088
SnakeStartTrailer7Theta 0.447176
SnakeStartTrailer8Theta 0.410054
SnakeStartTrailer9Theta 0.352450


GoalX -4.167122
GoalY 35.034921


SensorRadius 50

SceneGridNrDimsX 128
SceneGridNrDimsY 128
SceneGridMinX -40
SceneGridMinY -40
SceneGridMaxX 40
SceneGridMaxY 40
SceneObstaclesHeight 2
SceneBoundaryHeight 2

SnakeNrLinks 9
SnakeLinkLength 1.0
SnakeLinkWidth 0.6
SnakeAttachDistance 0.01
	    
GoalRadius 3.0
GoalNrSides 5


PlannerRunAsMethod FP
PlannerMaxRuntime 2.0

PlannerGuideSeparationDistance -1.0
PlannerGuideWidth 2.0
PlannerGuideBorderExtendBefore 3.0
PlannerGuideBorderExtendAfter 3.0
PlannerGuideReachDistance 2.0
PlannerClearExponent 6
PlannerClearMax 5
PlannerUseRadix 1
PlannerScaleRadix 1000000
PlannerMaxCountExploreAbandon 50
PlannerMaxCountFollowRetry 400
PlannerMaxCountFollowAbandon 2000
PlannerMinClearAcceptHint 1.0
PlannerRegionsNrDimsX 48
PlannerRegionsNrDimsY 48


ParamsExtraFile data/ParamsGraphics.txt
